alpha;power;hr;surv_3y;e;n
0,05;0,80;0,70;0,3;1,94394034515682e+02;5,38626251500051e+02
0,10;0,80;0,70;0,3;1,41737729421109e+02;3,92726361610966e+02
0,20;0,80;0,70;0,3;8,90857308384359e+01;2,46838404188676e+02
0,49;0,80;0,70;0,3;2,36179664553978e+01;6,54405716287484e+01
0,01;0,90;0,70;0,3;4,09282934403720e+02;1,13403959802600e+03
0,05;0,90;0,70;0,3;2,69267355723114e+02;7,46084965136994e+02
0,10;0,90;0,70;0,3;2,06560345025390e+02;5,72336618388400e+02
0,20;0,90;0,70;0,3;1,41737729421109e+02;3,92726361610966e+02
0,49;0,90;0,70;0,3;5,36801481801075e+01;1,48736750416516e+02
0,01;0,99;0,70;0,3;6,80650386786254e+02;1,88594350299965e+03
0,05;0,99;0,70;0,3;4,95859497502824e+02;1,37392560978562e+03
0,10;0,99;0,70;0,3;4,09282934403720e+02;1,13403959802600e+03
0,20;0,99;0,70;0,3;3,15556160999478e+02;8,74341810747205e+02
0,49;0,99;0,70;0,3;1,73849727775421e+02;4,81702164520001e+02
0,01;0,51;0,90;0,3;1,99233994937526e+03;5,03928409551213e+03
0,05;0,51;0,90;0,3;1,00483988987780e+03;2,54157111951963e+03
0,10;0,51;0,90;0,3;6,15181312482517e+02;1,55599620678264e+03
0,20;0,51;0,90;0,3;2,70664893722925e+02;6,84600685028231e+02
0,49;0,51;0,90;0,3;9,05805700913422e-01;2,29108102945411e+00
0,01;0,80;0,90;0,3;3,61631366281401e+03;9,14684862446103e+03
0,05;0,80;0,90;0,3;2,22778031258201e+03;5,63479033837064e+03
0,10;0,80;0,90;0,3;1,62433237182980e+03;4,10847169417757e+03
0,20;0,80;0,90;0,3;1,02093378425066e+03;2,58227788041825e+03
0,49;0,80;0,90;0,3;2,70664893722925e+02;6,84600685028231e+02
0,01;0,90;0,90;0,3;4,69043438401834e+03;1,18636537905283e+04
0,05;0,90;0,90;0,3;3,08583807829031e+03;7,80510110944180e+03
0,10;0,90;0,90;0,3;2,36720777545563e+03;5,98744832545610e+03
0,20;0,90;0,90;0,3;1,62433237182980e+03;4,10847169417757e+03
0,49;0,90;0,90;0,3;6,15181312482517e+02;1,55599620678264e+03
0,01;0,99;0,90;0,3;7,80033983661894e+03;1,97296292184420e+04
0,05;0,99;0,90;0,3;5,68261278745408e+03;1,43731998395910e+04
0,10;0,99;0,90;0,3;4,69043438401834e+03;1,18636537905283e+04
