Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,nt/nc,Spacing of Looks,Efficacy Boundary,Futility Boundary,Sample Size,Expected SS (H0),Expected SS (H1),πc,Prop. Treatment (Alt.),Variance
94,Des94,Superiority,4,1-Sided,0.1,0.0981041355513169,0.990000677535623,1,Equal,LD (OF),LD (OF) (NB),3159,2406.12944348182,1763.5085861536,0.8,0.85,Pooled Estimate
95,Des95,Superiority,4,1-Sided,0.1,0.0980826433210971,0.990008226077425,1,Equal,LD (OF),LD (OF) (NB),1514,1152.53461181287,845.767903133474,0.9,0.95,Pooled Estimate
96,Des96,Superiority,4,1-Sided,0.245,0.241894152904363,0.990017347030768,1,Equal,LD (OF),LD (OF) (NB),1728,1340.92759097532,820.716288981104,0.1,0.15,Pooled Estimate
97,Des97,Superiority,4,1-Sided,0.245,0.241912023412179,0.990008996570394,1,Equal,LD (OF),LD (OF) (NB),3472,2695.11534928161,1648.21017384841,0.3,0.35,Pooled Estimate
98,Des98,Superiority,4,1-Sided,0.245,0.241914250127725,0.990001351578612,1,Equal,LD (OF),LD (OF) (NB),3947,3063.79612744952,1873.6937884141,0.5,0.55,Pooled Estimate
99,Des99,Superiority,4,1-Sided,0.245,0.241905048134586,0.990015368786357,1,Equal,LD (OF),LD (OF) (NB),2283,1771.79470778072,1084.03731313662,0.8,0.85,Pooled Estimate
100,Des100,Superiority,4,1-Sided,0.245,0.241866132927051,0.990030769538527,1,Equal,LD (OF),LD (OF) (NB),1094,848.605484177342,519.697728430535,0.9,0.95,Pooled Estimate
101,Des101,Superiority,4,1-Sided,0.005,0.00317702054724049,0.510357251320771,1,Equal,LD (OF),LD (OF) (NB),223,76.2524355572094,152.863753314626,0.1,0.25,Pooled Estimate
102,Des102,Superiority,4,1-Sided,0.005,0.00318994502485397,0.51148690345925,1,Equal,LD (OF),LD (OF) (NB),363,124.423197104702,248.809612116997,0.3,0.45,Pooled Estimate
103,Des103,Superiority,4,1-Sided,0.005,0.00318302780978803,0.510011513128743,1,Equal,LD (OF),LD (OF) (NB),378,129.372209980441,258.706977004983,0.5,0.65,Pooled Estimate
104,Des104,Superiority,4,1-Sided,0.005,0.00317018473445301,0.511239076485649,1,Equal,LD (OF),LD (OF) (NB),169,57.6896100563769,116.036019502415,0.8,0.95,Pooled Estimate
105,Des105,Superiority,4,1-Sided,0.025,0.0170546008489062,0.514203559093012,1,Equal,LD (OF),LD (OF) (NB),140,55.0784762105388,92.7035712482415,0.1,0.25,Pooled Estimate
106,Des106,Superiority,4,1-Sided,0.025,0.017083150201028,0.512758684528318,1,Equal,LD (OF),LD (OF) (NB),227,89.467306209463,149.891431143416,0.3,0.45,Pooled Estimate
107,Des107,Superiority,4,1-Sided,0.025,0.0170488244271401,0.510786421605033,1,Equal,LD (OF),LD (OF) (NB),236,92.7689300972224,155.614451849979,0.5,0.65,Pooled Estimate
108,Des108,Superiority,4,1-Sided,0.025,0.016983032532949,0.513728539049674,1,Equal,LD (OF),LD (OF) (NB),106,41.6322361034176,70.2123392388486,0.8,0.95,Pooled Estimate
109,Des109,Superiority,4,1-Sided,0.05,0.0353988522422386,0.512658507999842,1,Equal,LD (OF),LD (OF) (NB),104,44.163088751728,67.0981366612353,0.1,0.25,Pooled Estimate
110,Des110,Superiority,4,1-Sided,0.05,0.0354996035498915,0.512627702507619,1,Equal,LD (OF),LD (OF) (NB),169,72.0219003581094,108.884335692847,0.3,0.45,Pooled Estimate
111,Des111,Superiority,4,1-Sided,0.05,0.0354920795966795,0.512079417385101,1,Equal,LD (OF),LD (OF) (NB),176,74.9007983729387,113.342619271421,0.5,0.65,Pooled Estimate
112,Des112,Superiority,4,1-Sided,0.05,0.0353963085391767,0.514652346138614,1,Equal,LD (OF),LD (OF) (NB),79,33.6000143272606,51.0565735761351,0.8,0.95,Pooled Estimate
113,Des113,Superiority,4,1-Sided,0.1,0.0742656067257168,0.51253737078562,1,Equal,LD (OF),LD (OF) (NB),69,32.0519615178678,43.0359253470894,0.1,0.25,Pooled Estimate
114,Des114,Superiority,4,1-Sided,0.1,0.0744816881597863,0.512547479411683,1,Equal,LD (OF),LD (OF) (NB),112,52.0483790079302,69.7260484158068,0.3,0.45,Pooled Estimate
115,Des115,Superiority,4,1-Sided,0.1,0.0745427441212063,0.513276812597196,1,Equal,LD (OF),LD (OF) (NB),117,54.4954001996124,72.8967204001739,0.5,0.65,Pooled Estimate
